"Iteration","Dst","Src","Score","method","scoretype"
"613",1,9,2,0.825,"ahp","it"
"614",1,21,1,0.675,"ahp","it"
"615",1,22,1,0.85,"ahp","it"
"616",1,27,5,0.85,"ahp","it"
"617",1,30,1,0.675,"ahp","it"
"618",1,8,1,1,"ahp","it"
"619",1,18,1,0.85,"ahp","it"
"620",1,34,2,0.751524,"ahp","it"
"621",1,15,1,0.675,"ahp","it"
"622",1,26,2,0.675,"ahp","it"
"623",1,6,1,1,"ahp","it"
"624",1,23,1,0.825,"ahp","it"
"625",1,11,0,1,"ahp","it"
"626",1,25,1,0.675,"ahp","it"
"627",1,31,5,0.134919,"it","ahp"
"628",1,33,1,0.287628,"it","ahp"
"629",1,24,1,0.385628,"it","ahp"
"630",1,10,0,0.228689,"it","ahp"
"631",1,17,5,0.353539,"it","ahp"
"632",1,12,5,0.249035,"it","ahp"
"633",1,7,2,0.230087,"it","ahp"
"634",1,16,0,0.308829,"it","ahp"
"635",1,35,0,0.198794,"it","ahp"
"636",1,32,2,0.219552,"it","ahp"
"637",1,19,5,0.266356,"it","ahp"
"638",1,14,0,0.144787,"it","ahp"
"639",1,20,1,0.312997,"it","ahp"
"640",1,29,5,0.141704,"it","ahp"
"641",1,28,0,0.296573,"it","ahp"
"642",1,9,3,0.162647,"it","ahp"
"643",1,21,5,0.141704,"it","ahp"
"644",1,22,0,0.21806,"it","ahp"
"645",1,27,5,0.369397,"it","ahp"
"646",1,30,5,0.134919,"it","ahp"
"647",1,8,1,0.408057,"it","ahp"
