"Iteration","Dst","Src","BW","HC","PI","IU","run","method","users","speed"
"379",1,24,1,0.109763,2,2,9.4,"15","ahp",30,"0"
"380",1,25,0,0.181674,1,3,5.5,"15","ahp",30,"0"
"381",1,26,5,0.221842,1,2,5.1,"15","ahp",30,"0"
"382",1,27,1,0,6,1,9.4,"15","ahp",30,"0"
"383",1,28,4,0.061391,1,3,3.9,"15","ahp",30,"0"
"384",1,29,1,0,5,1,9.4,"15","ahp",30,"0"
"385",1,30,1,0.268316,8,1,9.4,"15","ahp",30,"0"
"386",1,31,1,0.077334,7,1,9.4,"15","ahp",30,"0"
"387",1,32,1,0.245668,2,1,9.4,"15","ahp",30,"0"
"388",1,33,1,0.030341,1,2,9.4,"15","ahp",30,"0"
"389",1,34,5,0.018333,2,2,5.1,"15","ahp",30,"0"
"390",1,35,1,0,3,2,9.4,"15","ahp",30,"0"
"391",1,6,5,0.240034,2,1,5.1,"15","it",30,"0"
"392",1,7,1,0.218647,1,2,9.4,"15","it",30,"0"
"393",1,8,5,0.171441,7,1,5.1,"15","it",30,"0"
"394",1,9,3,0.071891,1,3,4.8,"15","it",30,"0"
"395",1,10,1,0.225425,4,1,9.4,"15","it",30,"0"
"396",1,11,1,0.256669,1,1,9.4,"15","it",30,"0"
"397",1,12,1,0.074959,5,1,9.4,"15","it",30,"0"
"398",1,13,1,0.118276,4,1,9.4,"15","it",30,"0"
"399",1,14,1,0.06539,7,1,9.4,"15","it",30,"0"
"400",1,15,3,0.218766,2,1,4.8,"15","it",30,"0"
"401",1,16,3,0.235636,3,2,4.8,"15","it",30,"0"
"402",1,17,1,0.246907,1,1,9.4,"15","it",30,"0"
"403",1,18,2,0.172838,3,1,7.2,"15","it",30,"0"
"404",1,19,1,0.092412,1,2,9.4,"15","it",30,"0"
"405",1,20,1,0.134151,3,1,9.4,"15","it",30,"0"
"406",1,21,0,0.170586,4,1,5.5,"15","it",30,"0"
"407",1,22,1,0.101608,7,1,9.4,"15","it",30,"0"
"408",1,23,1,0.110632,3,2,9.4,"15","it",30,"0"
"409",1,24,2,0.109763,2,2,7.2,"15","it",30,"0"
"410",1,25,0,0.181674,1,3,5.5,"15","it",30,"0"
"411",1,26,1,0.221842,7,1,9.4,"15","it",30,"0"
"412",1,27,2,0.172688,6,1,7.2,"15","it",30,"0"
